svm,actual,difference
7,7,0
8,8,0
8,9,1
8,9,1
9,9,0
9,9,0
9,9,0
10,11,1
7,8,1
9,10,1
8,8,0
8,9,1
7,8,1
10,12,2
6,7,1
8,8,0
7,8,1
10,9,1
7,8,1
7,8,1
9,9,0
9,9,0
9,11,2
10,10,0
9,9,0
7,8,1
6,8,2
8,8,0
8,9,1
7,8,1
8,9,1
7,8,1
8,9,1
5,5,0
9,9,0
10,11,1
11,10,1
8,8,0
9,9,0
6,7,1
10,11,1
7,8,1
10,11,1
8,10,2
9,9,0
9,10,1
6,7,1
7,8,1
9,9,0
9,10,1
8,8,0
8,9,1
7,8,1
10,11,1
8,10,2
7,7,0
8,8,0
6,6,0
8,8,0
7,7,0
8,9,1
8,9,1
9,10,1
8,8,0
7,8,1
7,8,1
6,7,1
7,7,0
6,7,1
7,9,2
8,10,2
9,9,0
8,9,1
9,10,1
9,9,0
7,8,1
9,9,0
6,8,2
9,9,0
7,7,0
9,10,1
9,9,0
8,9,1
7,8,1
8,8,0
7,8,1
9,10,1
10,9,1
8,8,0
8,8,0
9,10,1
8,9,1
8,8,0
5,5,0
7,8,1
8,8,0
9,10,1
8,9,1
7,8,1
9,10,1
8,8,0
9,9,0
9,9,0
10,11,1
9,9,0
8,8,0
9,10,1
7,8,1
8,8,0
8,8,0
8,9,1
6,7,1
8,8,0
9,10,1
8,9,1
7,7,0
8,9,1
6,7,1
8,8,0
12,12,0
7,8,1
9,11,2
9,9,0
7,8,1
9,10,1
7,8,1
8,9,1
6,7,1
7,8,1
6,6,0
9,9,0
8,9,1
7,8,1
7,8,1
8,8,0
8,8,0
9,9,0
6,6,0
10,9,1
6,6,0
9,10,1
6,7,1
6,6,0
8,8,0
9,10,1
10,10,0
7,8,1
9,10,1
9,9,0
10,10,0
9,9,0
10,10,0
6,6,0
7,8,1
7,7,0
8,8,0
8,10,2
6,6,0
9,10,1
10,11,1
9,9,0
10,10,0
7,9,2
8,8,0
8,8,0
8,8,0
9,9,0
6,7,1
8,9,1
10,10,0
7,8,1
9,10,1
6,7,1
9,10,1
8,9,1
9,9,0
8,9,1
10,10,0
8,9,1
10,10,0
6,7,1
8,9,1
7,8,1
8,9,1
9,9,0
7,8,1
6,6,0
10,10,0
8,9,1
9,9,0
10,9,1
7,8,1
6,7,1
9,10,1
9,10,1
9,9,0
8,9,1
5,2,3
7,7,0
7,8,1
6,7,1
7,8,1
8,8,0
7,8,1
7,8,1
9,10,1
9,9,0
7,8,1
8,9,1
9,9,0
9,9,0
7,8,1
8,9,1
10,11,1
10,10,0
8,9,1
6,7,1
8,8,0
8,8,0
5,4,1
10,11,1
9,9,0
10,10,0
9,10,1
7,7,0
7,7,0
9,11,2
9,11,2
7,7,0
8,8,0
7,8,1
7,8,1
9,11,2
10,10,0
10,9,1
8,8,0
5,6,1
6,6,0
9,9,0
8,8,0
8,8,0
8,10,2
9,10,1
9,9,0
8,9,1
7,8,1
8,9,1
7,8,1
8,8,0
9,9,0
8,8,0
9,9,0
8,8,0
9,10,1
6,7,1
7,9,2
8,8,0
6,7,1
9,9,0
5,6,1
10,10,0
7,8,1
9,10,1
10,11,1
9,11,2
10,12,2
8,9,1
9,9,0
9,10,1
8,9,1
9,9,0
7,8,1
9,10,1
8,9,1
8,8,0
10,11,1
8,9,1
9,10,1
7,7,0
7,8,1
8,8,0
6,7,1
7,8,1
7,7,0
8,8,0
5,5,0
7,8,1
10,10,0
7,8,1
8,8,0
7,8,1
6,7,1
6,7,1
7,8,1
9,9,0
8,8,0
7,8,1
8,9,1
7,9,2
8,9,1
8,9,1
8,9,1
6,6,0
10,11,1
8,8,0
9,11,2
8,8,0
9,10,1
6,8,2
7,7,0
8,8,0
10,10,0
9,9,0
10,11,1
7,8,1
8,8,0
9,10,1
10,10,0
9,8,1
7,8,1
7,7,0
9,11,2
10,10,0
9,10,1
7,8,1
9,10,1
7,7,0
7,9,2
8,8,0
10,8,2
8,9,1
8,9,1
9,10,1
6,6,0
8,8,0
7,7,0
7,8,1
9,9,0
9,9,0
7,8,1
10,10,0
10,11,1
8,8,0
8,9,1
10,10,0
7,8,1
7,8,1
9,10,1
7,7,0
9,8,1
8,9,1
5,6,1
9,9,0
9,9,0
9,10,1
7,8,1
8,8,0
9,10,1
8,8,0
8,8,0
9,10,1
7,8,1
10,9,1
9,10,1
10,10,0
9,9,0
9,10,1
7,8,1
7,8,1
8,9,1
8,8,0
8,8,0
8,9,1
9,10,1
8,8,0
10,10,0
7,8,1
6,6,0
8,8,0
6,6,0
8,8,0
7,7,0
9,11,2
8,8,0
8,9,1
6,7,1
8,9,1
7,8,1
8,10,2
7,8,1
7,8,1
7,8,1
8,8,0
6,6,0
8,8,0
9,10,1
9,10,1
8,9,1
7,7,0
8,9,1
7,7,0
10,10,0
10,10,0
9,9,0
6,7,1
10,10,0
7,7,0
8,9,1
8,8,0
7,7,0
8,9,1
8,8,0
7,8,1
10,10,0
10,10,0
9,9,0
9,9,0
7,8,1
7,8,1
10,11,1
7,8,1
7,8,1
7,8,1
9,11,2
8,8,0
5,4,1
8,9,1
8,9,1
8,8,0
8,8,0
7,8,1
11,10,1
10,9,1
6,6,0
9,9,0
9,10,1
6,6,0
8,9,1
9,9,0
9,9,0
10,9,1
8,9,1
8,8,0
8,8,0
7,7,0
8,8,0
8,8,0
10,10,0
6,6,0
5,6,1
8,8,0
10,10,0
11,11,0
10,10,0
8,9,1
7,8,1
9,11,2
6,6,0
9,11,2
9,9,0
9,9,0
9,9,0
7,8,1
8,9,1
8,9,1
9,10,1
10,10,0
7,8,1
7,8,1
8,9,1
8,9,1
7,7,0
6,6,0
8,9,1
9,9,0
6,6,0
9,12,3
7,7,0
8,8,0
7,7,0
5,5,0
6,7,1
8,8,0
10,10,0
7,7,0
7,8,1
8,8,0
9,10,1
9,10,1
9,10,1
