Word count limit ratio,Long sentences,Voice,Tense,Spell errors,Grammatical Errors,SS Essay,SS Topic Essay,Score,Essay ID,Essay Set
0.037142857,0.625,1,0.617647059,0.038575668,0.005934718,0.246980833,0.229537767,8,1,1
0.197142857,0.55,0.974358974,0.505882353,0.052505967,0.011933174,0.321894561,0.237822869,9,2,1
0.202857143,0.5,1,0.735849057,0.003584229,0.028673835,0.303379237,0.309031219,7,3,1
0.497142857,0.555555556,0.936507937,0.43,0.062977099,0.020992366,0.236436421,0.24189132,10,4,1
0.328571429,0.4,0.983050847,0.482758621,0.03655914,0.010752688,0.250887755,0.21879233,8,5,1
0.297142857,0.466666667,1,0.510204082,0.06097561,0.020325203,0.231621873,0.200661977,8,6,1
0.425714286,0.633333333,0.961538462,0.5,0.014028056,0.004008016,0.242431163,0.231479915,10,7,1
0.377142857,0.230769231,0.959459459,0.567567568,0.014522822,0.01659751,0.234978587,0.201293483,10,8,1
0.262857143,0.285714286,0.979591837,0.511904762,0.022624434,0.011312217,0.207358196,0.182010956,9,9,1
0.434285714,0.5,0.984848485,0.575221239,0.03187251,0.017928287,0.280714452,0.222411457,9,10,1
0.074285714,0.409090909,0.891891892,0.569444444,0.024691358,0.00308642,0.21166275,0.21333758,8,11,1
0.12,0.44,1,0.714285714,0.089285714,0.033163265,0.312446655,0.219411471,8,12,1
0.417142857,1,0.96969697,0.558139535,0.117647059,0.009803922,0.280289161,0.261941468,7,13,1
0.122857143,0.28,1,0.518518519,0.114006515,0.035830619,0.248169341,0.201817697,6,14,1
0.497142857,0.384615385,1,0.566666667,0.039772727,0.022727273,0.337971113,0.253205509,6,15,1
0.508571429,0.371428571,0.966666667,0.5,0.045454545,0.013257576,0.217713089,0.231993954,12,16,1
0.042857143,0.611111111,1,0.507246377,0.029850746,0.011940299,0.3142973,0.233868052,8,17,1
0.045714286,0.8,0.976744186,0.5625,0.016393443,0.016393443,0.302402468,0.255135032,8,18,1
0.811428571,0,1,0.666666667,0.53030303,0,0.107947425,0.108030049,4,19,1
0.554285714,0.363636364,1,0.555555556,0.032051282,0.006410256,0.29158153,0.25183296,6,20,1
0.048571429,0.7,0.944444444,0.486842105,0.04359673,0.008174387,0.265588758,0.25397129,8,21,1
0.84,1,1,0.5,0.017857143,0,0.375091575,0.32752949,3,22,1
0.488571429,0.666666667,1,0.49,0.02303263,0.009596929,0.239081207,0.236160993,10,23,1
0.597142857,0.41025641,0.985294118,0.518518519,0.025044723,0.025044723,0.202779098,0.217345011,11,24,1
0.162857143,0.6875,1,0.467741935,0.013651877,0.003412969,0.338206467,0.274385147,8,25,1
0.028571429,0.409090909,0.981132075,0.556962025,0.022222222,0.019444444,0.24015384,0.226089525,9,26,1
0.657142857,0.428571429,1,0.565217391,0.066666667,0.016666667,0.319967282,0.194352411,4,27,1
0.028571429,0.285714286,0.975609756,0.519480519,0.033333333,0.022222222,0.221198138,0.18550246,9,28,1
0.06,0.391304348,0.97826087,0.662162162,0.037735849,0.002695418,0.330918928,0.244651157,9,29,1
0.265714286,0.533333333,0.973684211,0.585714286,0,0.003891051,0.342042097,0.257842593,8,30,1
0.348571429,0.470588235,0.967741935,0.614583333,0.021186441,0.027542373,0.176826804,0.167720914,10,31,1
0.405714286,0.416666667,1,0.619047619,0.010162602,0.012195122,0.231972604,0.212802131,10,32,1
0.522857143,0.333333333,0.95,0.586206897,0.035928144,0.011976048,0.260578835,0.234542831,6,33,1
0.034285714,0.346153846,0.977777778,0.493150685,0.033149171,0.024861878,0.237796969,0.196209565,8,34,1
0.18,0.212121212,0.983606557,0.545454545,0.007263923,0.004842615,0.274295534,0.233146736,9,35,1
0.548571429,0.708333333,0.983870968,0.712871287,0.011070111,0.014760148,0.275031052,0.229327116,10,36,1
0.394285714,0.516129032,0.96969697,0.537037037,0.047131148,0.016393443,0.253071654,0.228443847,12,37,1
0.005714286,0.823529412,0.955555556,0.5,0.03125,0.03125,0.27339507,0.223601665,8,38,1
0.271428571,0.409090909,1,0.576923077,0.031460674,0.020224719,0.194918895,0.217125951,10,39,1
0.457142857,0.266666667,1,0.58974359,0.042105263,0.026315789,0.220178181,0.245213117,7,40,1
0.882857143,0.666666667,1,0.625,0,0.024390244,0.481051587,0.299084355,2,41,1
0.194285714,0.714285714,1,0.622641509,0.046099291,0.028368794,0.348178383,0.265486879,8,42,1
0.6,0.75,1,0.620689655,0.014285714,0.014285714,0.31720047,0.256701484,6,43,1
0.105714286,0.25,1,0.508474576,0.022364217,0.025559105,0.383378121,0.232797788,8,44,1
0.08,0.4,1,0.568627451,0.027950311,0.00931677,0.251968724,0.204921896,8,45,1
0.148571429,0.636363636,0.895833333,0.621621622,0.013422819,0.016778523,0.419448925,0.260753786,8,46,1
0.102857143,0.611111111,0.964285714,0.519230769,0.063694268,0.022292994,0.231105272,0.232270786,8,47,1
0.554285714,0.515151515,1,0.525252525,0.007352941,0.012867647,0.236646464,0.212379413,11,48,1
0.1,0.222222222,0.975609756,0.545454545,0.00952381,0.019047619,0.235533306,0.240630807,6,49,1
0.762857143,0.5,1,0.583333333,0.072289157,0.048192771,0.325444591,0.314099942,5,50,1
0.631428571,0.923076923,0.974025974,0.515625,0.028021016,0.026269702,0.367241198,0.231771656,9,51,1
0.311428571,0.533333333,1,0.591836735,0.053941909,0.020746888,0.227721481,0.226784361,7,52,1
0.211428571,0.333333333,0.964285714,0.536842105,0.014150943,0.028301887,0.294239793,0.242205499,8,53,1
0.185714286,0.266666667,1,0.666666667,0.043373494,0.019277108,0.230489911,0.209833966,10,54,1
0.322857143,0.545454545,1,0.525,0.029535865,0.008438819,0.345852349,0.204727269,8,55,1
0.34,0.590909091,0.955555556,0.544444444,0.017057569,0.004264392,0.261255001,0.257281652,10,56,1
